PID,B,L,H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
5840,33.31041155,130.2931042,25.756,57539.614,-47194.581,2,5030,23,29
5841,33.31040952,130.2931012,25.843,57538.991,-47195.363,2,5030,23,29
5842,33.31040748,130.2930982,25.93,57538.367,-47196.145,2,5030,23,29
5843,33.31040544,130.2930952,26.017,57537.743,-47196.926,2,5030,23,29
5844,33.31040341,130.2930921,26.104,57537.119,-47197.708,2,5030,23,29
5845,33.31040194,130.29309,26.166,57536.67,-47198.272,2,5030,23,29
5846,33.3103999,130.293087,26.252,57536.046,-47199.053,2,5030,23,29
5847,33.31039786,130.2930839,26.337,57535.422,-47199.835,2,5030,23,29
5848,33.31039583,130.2930809,26.423,57534.798,-47200.617,2,5030,23,29
5849,33.31039379,130.2930779,26.508,57534.174,-47201.398,2,5030,23,29
5850,33.31039175,130.2930749,26.594,57533.551,-47202.18,2,5030,23,29
5851,33.31038972,130.2930719,26.679,57532.927,-47202.961,2,5030,23,29
5852,33.31038768,130.2930689,26.765,57532.303,-47203.743,2,5030,23,29
5853,33.31038564,130.2930658,26.85,57531.679,-47204.525,2,5030,23,29
5854,33.31038361,130.2930628,26.934,57531.057,-47205.308,2,5030,23,29
5855,33.3103816,130.2930598,27.006,57530.443,-47206.097,2,5030,23,29
5856,33.31037964,130.2930567,27.079,57529.843,-47206.897,2,5030,23,29
5857,33.31037775,130.2930535,27.141,57529.265,-47207.713,2,5030,23,29
5858,33.31037596,130.2930503,27.201,57528.716,-47208.549,2,5030,23,29
5859,33.31037429,130.293047,27.26,57528.205,-47209.408,2,5030,23,29
5860,33.31037276,130.2930436,27.314,57527.74,-47210.293,2,5030,23,29
5861,33.31037141,130.29304,27.364,57527.328,-47211.204,2,5030,23,29
5862,33.31037024,130.2930364,27.405,57526.971,-47212.138,2,5030,23,29
5863,33.31036925,130.2930327,27.413,57526.673,-47213.092,2,5030,23,29
5864,33.31036846,130.293029,27.385,57526.432,-47214.063,2,5030,23,29
5865,33.31036785,130.2930252,27.328,57526.251,-47215.046,2,5030,23,29
5866,33.31036744,130.2930213,27.269,57526.129,-47216.038,2,5030,23,29
5867,33.31036723,130.2930175,27.211,57526.068,-47217.036,2,5030,23,29
5868,33.31036721,130.2930136,27.161,57526.068,-47218.036,2,5030,23,29
5869,33.31036739,130.2930097,27.112,57526.128,-47219.034,2,5030,23,29
5870,33.31036776,130.2930059,27.062,57526.248,-47220.027,2,5030,23,29
5871,33.31036833,130.293002,26.999,57526.428,-47221.01,2,5030,23,29
5872,33.3103691,130.2929983,26.932,57526.668,-47221.981,2,5030,23,29
5873,33.31037005,130.2929946,26.854,57526.966,-47222.936,2,5030,23,29
5874,33.31037118,130.2929909,26.769,57527.32,-47223.87,2,5030,23,29
5875,33.31037249,130.2929874,26.683,57527.727,-47224.784,2,5030,23,29
5876,33.31037394,130.2929839,26.597,57528.177,-47225.677,2,5030,23,29
5877,33.3103755,130.2929805,26.51,57528.663,-47226.55,2,5030,23,29
5878,33.31037716,130.2929772,26.43,57529.178,-47227.408,2,5030,23,29
5879,33.31037888,130.2929739,26.368,57529.714,-47228.252,2,5030,23,29
5880,33.31038066,130.2929707,26.307,57530.265,-47229.087,2,5030,23,29
5881,33.31038246,130.2929675,26.244,57530.823,-47229.916,2,5030,23,29
5882,33.31038427,130.2929642,26.189,57531.384,-47230.744,2,5030,23,29
5883,33.31038607,130.292961,26.14,57531.945,-47231.572,2,5030,23,29
5884,33.31038788,130.2929578,26.092,57532.505,-47232.4,2,5030,23,29
5885,33.31038969,130.2929546,26.043,57533.066,-47233.228,2,5030,23,29
5886,33.31039149,130.2929514,25.994,57533.627,-47234.056,2,5030,23,29
5887,33.3103933,130.2929481,25.945,57534.187,-47234.884,2,5030,23,29
5888,33.31039511,130.2929449,25.897,57534.748,-47235.712,2,5030,23,29
5889,33.31039691,130.2929417,25.848,57535.309,-47236.54,2,5030,23,29
5890,33.31039872,130.2929385,25.8,57535.87,-47237.368,2,5030,23,29
5891,33.31040053,130.2929353,25.751,57536.43,-47238.196,2,5030,23,29
5892,33.31040233,130.292932,25.703,57536.991,-47239.024,2,5030,23,29
5893,33.31040414,130.2929288,25.655,57537.552,-47239.852,2,5030,23,29
5894,33.31040595,130.2929256,25.608,57538.113,-47240.68,2,5030,23,29
5895,33.31040775,130.2929224,25.563,57538.673,-47241.508,2,5030,23,29
5896,33.31040956,130.2929192,25.517,57539.234,-47242.336,2,5030,23,29
5897,33.31041137,130.2929159,25.479,57539.795,-47243.164,2,5030,23,29
5898,33.31041317,130.2929127,25.45,57540.355,-47243.992,2,5030,23,29
5899,33.31041498,130.2929095,25.422,57540.916,-47244.82,2,5030,23,29
5900,33.31041679,130.2929063,25.393,57541.477,-47245.648,2,5030,23,29
5901,33.3104186,130.2929031,25.364,57542.038,-47246.476,2,5030,23,29
5902,33.3104204,130.2928998,25.335,57542.598,-47247.304,2,5030,23,29
5903,33.31042221,130.2928966,25.306,57543.159,-47248.132,2,5030,23,29
5904,33.31042402,130.2928934,25.277,57543.72,-47248.96,2,5030,23,29
5905,33.31042582,130.2928902,25.248,57544.28,-47249.788,2,5030,23,29
5906,33.31042763,130.292887,25.218,57544.841,-47250.616,2,5030,23,29
5907,33.31042944,130.2928838,25.189,57545.402,-47251.444,2,5030,23,29
5908,33.31043125,130.2928805,25.16,57545.963,-47252.272,2,5030,23,29
5909,33.31043305,130.2928773,25.131,57546.523,-47253.1,2,5030,23,29
5910,33.31043486,130.2928741,25.101,57547.084,-47253.928,2,5030,23,29
5911,33.31043667,130.2928709,25.072,57547.645,-47254.756,2,5030,23,29
5912,33.31043847,130.2928677,25.043,57548.206,-47255.584,2,5030,23,29
5913,33.31043885,130.292867,25.036,57548.324,-47255.758,2,5030,23,29
5914,33.31044876,130.2928751,24.858,57551.365,-47253.645,2,5030,23,29
5915,33.31044692,130.2928783,24.891,57550.793,-47252.825,2,5030,23,29
5916,33.31044508,130.2928815,24.923,57550.223,-47252.003,2,5030,23,29
5917,33.31044325,130.2928847,24.956,57549.657,-47251.179,2,5030,23,29
5918,33.31044144,130.2928879,24.988,57549.093,-47250.353,2,5030,23,29
5919,33.31043963,130.2928911,25.02,57548.532,-47249.525,2,5030,23,29
5920,33.31043782,130.2928943,25.052,57547.971,-47248.698,2,5030,23,29
5921,33.31043601,130.2928976,25.085,57547.41,-47247.87,2,5030,23,29
5922,33.31043421,130.2929008,25.117,57546.849,-47247.042,2,5030,23,29
5923,33.3104324,130.292904,25.149,57546.288,-47246.214,2,5030,23,29
5924,33.31043059,130.2929072,25.181,57545.727,-47245.386,2,5030,23,29
5925,33.31042878,130.2929104,25.214,57545.166,-47244.559,2,5030,23,29
5926,33.31042697,130.2929137,25.246,57544.605,-47243.731,2,5030,23,29
5927,33.31042517,130.2929169,25.278,57544.044,-47242.903,2,5030,23,29
5928,33.31042336,130.2929201,25.311,57543.483,-47242.075,2,5030,23,29
5929,33.31042155,130.2929233,25.343,57542.922,-47241.247,2,5030,23,29
5930,33.31041974,130.2929265,25.381,57542.361,-47240.42,2,5030,23,29
5931,33.31041793,130.2929297,25.427,57541.8,-47239.592,2,5030,23,29
5932,33.31041613,130.292933,25.473,57541.239,-47238.764,2,5030,23,29
5933,33.31041432,130.2929362,25.519,57540.678,-47237.936,2,5030,23,29
5934,33.31041251,130.2929394,25.567,57540.116,-47237.108,2,5030,23,29
5935,33.3104107,130.2929426,25.615,57539.555,-47236.281,2,5030,23,29
5936,33.31040889,130.2929458,25.663,57538.994,-47235.453,2,5030,23,29
5937,33.31040708,130.2929491,25.711,57538.433,-47234.625,2,5030,23,29
5938,33.31040528,130.2929523,25.759,57537.872,-47233.797,2,5030,23,29
5939,33.31040347,130.2929555,25.807,57537.311,-47232.969,2,5030,23,29
5940,33.31040166,130.2929587,25.855,57536.75,-47232.142,2,5030,23,29
5941,33.31039985,130.2929619,25.903,57536.189,-47231.314,2,5030,23,29
5942,33.31039805,130.2929652,25.95,57535.629,-47230.486,2,5030,23,29
5943,33.31039626,130.2929684,25.998,57535.073,-47229.655,2,5030,23,29
5944,33.3103945,130.2929716,26.046,57534.526,-47228.817,2,5030,23,29
5945,33.31039278,130.2929749,26.107,57533.993,-47227.971,2,5030,23,29
5946,33.31039112,130.2929783,26.194,57533.479,-47227.114,2,5030,23,29
5947,33.31038955,130.2929816,26.288,57532.989,-47226.242,2,5030,23,29
5948,33.31038807,130.2929851,26.383,57532.529,-47225.354,2,5030,23,29
5949,33.31038671,130.2929886,26.477,57532.105,-47224.448,2,5030,23,29
5950,33.31038548,130.2929922,26.569,57531.723,-47223.524,2,5030,23,29
5951,33.31038441,130.2929959,26.658,57531.389,-47222.582,2,5030,23,29
5952,33.31038352,130.2929996,26.749,57531.109,-47221.622,2,5030,23,29
5953,33.31038282,130.2930034,26.843,57530.89,-47220.646,2,5030,23,29
5954,33.31038235,130.2930072,26.934,57530.738,-47219.658,2,5030,23,29
5955,33.3103821,130.2930111,27.014,57530.657,-47218.662,2,5030,23,29
5956,33.31038208,130.2930149,27.086,57530.647,-47217.662,2,5030,23,29
5957,33.3103823,130.2930188,27.149,57530.708,-47216.664,2,5030,23,29
5958,33.31038274,130.2930226,27.206,57530.841,-47215.673,2,5030,23,29
5959,33.31038342,130.2930264,27.26,57531.044,-47214.694,2,5030,23,29
5960,33.31038432,130.2930302,27.28,57531.316,-47213.732,2,5030,23,29
5961,33.31038544,130.2930338,27.246,57531.657,-47212.792,2,5030,23,29
5962,33.31038677,130.2930373,27.206,57532.063,-47211.878,2,5030,23,29
5963,33.31038829,130.2930408,27.146,57532.526,-47210.993,2,5030,23,29
5964,33.31038996,130.2930441,27.076,57533.037,-47210.133,2,5030,23,29
5965,33.31039176,130.2930473,27.002,57533.588,-47209.298,2,5030,23,29
5966,33.31039366,130.2930504,26.927,57534.168,-47208.484,2,5030,23,29
5967,33.31039563,130.2930535,26.846,57534.771,-47207.686,2,5030,23,29
5968,33.31039764,130.2930566,26.755,57535.388,-47206.899,2,5030,23,29
5969,33.31039968,130.2930596,26.663,57536.012,-47206.118,2,5030,23,29
5970,33.31040172,130.2930626,26.57,57536.638,-47205.338,2,5030,23,29
5971,33.31040377,130.2930656,26.478,57537.263,-47204.558,2,5030,23,29
5972,33.31040581,130.2930686,26.385,57537.888,-47203.777,2,5030,23,29
5973,33.31040785,130.2930716,26.292,57538.514,-47202.997,2,5030,23,29
5974,33.31040989,130.2930746,26.2,57539.139,-47202.217,2,5030,23,29
5975,33.31041194,130.2930776,26.107,57539.765,-47201.436,2,5030,23,29
5976,33.31041301,130.2930792,26.058,57540.094,-47201.025,2,5030,23,29
5977,33.31041505,130.2930822,25.964,57540.72,-47200.245,2,5030,23,29
5978,33.3104171,130.2930853,25.87,57541.345,-47199.465,2,5030,23,29
5979,33.31041914,130.2930883,25.776,57541.971,-47198.685,2,5030,23,29
5980,33.31042118,130.2930913,25.682,57542.596,-47197.904,2,5030,23,29
5981,33.31042323,130.2930943,25.588,57543.222,-47197.124,2,5030,23,29
5982,33.31042527,130.2930973,25.494,57543.847,-47196.344,2,5030,23,29
5983,33.31042731,130.2931003,25.399,57544.473,-47195.564,2,5030,23,29
5984,33.31042935,130.2931033,25.305,57545.098,-47194.783,2,5030,23,29
5985,33.3104314,130.2931063,25.211,57545.724,-47194.003,2,5030,23,29
5986,33.31043344,130.2931094,25.117,57546.349,-47193.223,2,5030,23,29
5987,33.31043548,130.2931124,25.023,57546.974,-47192.443,2,5030,23,29
5988,33.31043752,130.2931154,24.929,57547.6,-47191.662,2,5030,23,29
5989,33.31043956,130.2931184,24.834,57548.225,-47190.882,2,5030,23,29
5990,33.31044161,130.2931214,24.74,57548.851,-47190.102,2,5030,23,29
5991,33.31044365,130.2931244,24.646,57549.476,-47189.321,2,5030,23,29
5992,33.31044568,130.2931274,24.552,57550.099,-47188.544,2,5030,23,29
5993,33.31048696,130.2927843,24.926,57563.248,-47277.03,2,5030,23,29
5994,33.31048844,130.2927817,24.927,57563.709,-47277.69,2,5030,23,29
5995,33.31049028,130.2927785,24.929,57564.28,-47278.51,2,5030,23,29
5996,33.31049213,130.2927753,24.931,57564.851,-47279.331,2,5030,23,29
5997,33.31049397,130.2927721,24.934,57565.422,-47280.152,2,5030,23,29
5998,33.31049581,130.2927689,24.936,57565.993,-47280.973,2,5030,23,29
5999,33.31049765,130.2927657,24.939,57566.565,-47281.794,2,5030,23,29
6000,33.31049949,130.2927625,24.942,57567.136,-47282.614,2,5030,23,29
6001,33.31050133,130.2927594,24.945,57567.707,-47283.435,2,5030,23,29
6002,33.31050317,130.2927562,24.947,57568.278,-47284.256,2,5030,23,29
6003,33.31050501,130.292753,24.95,57568.85,-47285.077,2,5030,23,29
6004,33.31050685,130.2927498,24.953,57569.421,-47285.898,2,5030,23,29
6005,33.31050869,130.2927466,24.956,57569.992,-47286.718,2,5030,23,29
6006,33.31051054,130.2927434,24.96,57570.563,-47287.539,2,5030,23,29
6007,33.31051238,130.2927402,24.963,57571.135,-47288.36,2,5030,23,29
6008,33.31051422,130.292737,24.967,57571.706,-47289.181,2,5030,23,29
6009,33.31051606,130.2927338,24.97,57572.277,-47290.001,2,5030,23,29
6010,33.3105179,130.2927306,24.974,57572.848,-47290.822,2,5030,23,29
6011,33.31051974,130.2927274,24.978,57573.42,-47291.643,2,5030,23,29
6012,33.31053026,130.292736,24.917,57576.648,-47289.413,2,5030,23,29
6013,33.31052879,130.2927386,24.914,57576.193,-47288.749,2,5030,23,29
6014,33.31052697,130.2927418,24.91,57575.628,-47287.924,2,5030,23,29
6015,33.31052515,130.292745,24.907,57575.063,-47287.099,2,5030,23,29
